"filename", "language", "JavaScript", "PHP", "CSS", "Markdown", "XML", "JSON", "SCSS", "Vue", "comment", "blank", "total"
"c:\xampp\htdocs\unlimited\resources\sass\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 0, 3, 3, 9
"c:\xampp\htdocs\unlimited\resources\views\app.blade.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\unlimited\resources\views\auth\login.blade.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 0, 0, 13, 74
"c:\xampp\htdocs\unlimited\resources\views\auth\passwords\confirm.blade.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 9, 50
"c:\xampp\htdocs\unlimited\resources\views\auth\passwords\email.blade.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\xampp\htdocs\unlimited\resources\views\auth\passwords\reset.blade.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 0, 0, 13, 66
"c:\xampp\htdocs\unlimited\resources\views\auth\register.blade.php", "PHP", 0, 63, 0, 0, 0, 0, 0, 0, 0, 15, 78
"c:\xampp\htdocs\unlimited\resources\views\auth\verify.blade.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\xampp\htdocs\unlimited\resources\views\home.blade.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\unlimited\resources\views\layouts\app.blade.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 12, 81
"c:\xampp\htdocs\unlimited\resources\views\welcome.blade.php", "PHP", 0, 113, 0, 0, 0, 0, 0, 0, 0, 20, 133
"c:\xampp\htdocs\unlimited\routes\api.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 13, 19, 65
"c:\xampp\htdocs\unlimited\routes\channels.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\xampp\htdocs\unlimited\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\unlimited\routes\web.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 13, 5, 23
"c:\xampp\htdocs\unlimited\tests\CreatesApplication.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 5, 6, 23
"c:\xampp\htdocs\unlimited\tests\Feature\ExampleTest.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 6, 5, 22
"c:\xampp\htdocs\unlimited\tests\TestCase.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\xampp\htdocs\unlimited\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\unlimited\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\unlimited\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\unlimited\vite.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\xampp\htdocs\unlimited\webpack.mix.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 11, 3, 18
"Total", "-", 73126, 2870, 1, 45, 45, 27747, 102, 3404, 21491, 12592, 141423
